"","sensor_id","city","day_of_week","hour","aqi","pm2.5_alt","temperature","humidity","pressure","time_stamp"
"1","107358","EPA or BH","Sun",0,25,6,87.066,36.933,1009.584,"2023-07-16T00:00:00Z"
"2","107358","EPA or BH","Sun",1,24,5.7,87,38,1009.367,"2023-07-16T01:00:00Z"
"3","107358","EPA or BH","Sun",2,32,7.7,84.1,39.567,1009.298,"2023-07-16T02:00:00Z"
"4","107358","EPA or BH","Sun",3,33,8,79.367,44.666,1009.382,"2023-07-16T03:00:00Z"
"5","107358","EPA or BH","Sun",4,31,7.5,77.6,47.034,1009.738,"2023-07-16T04:00:00Z"
"6","107358","EPA or BH","Sun",5,30,7.3,75.5,49.2,1010.25,"2023-07-16T05:00:00Z"
"7","107358","EPA or BH","Sun",6,27,6.5,74.1,53.266,1010.336,"2023-07-16T06:00:00Z"
"8","107358","EPA or BH","Sun",7,28,6.7,73,55.133,1010.344,"2023-07-16T07:00:00Z"
"9","107358","EPA or BH","Sun",8,30,7.2,72.066,56.067,1010.204,"2023-07-16T08:00:00Z"
"10","107358","EPA or BH","Sun",9,27,6.4,71.434,57.7,1009.951,"2023-07-16T09:00:00Z"
"11","107358","EPA or BH","Sun",10,24,5.8,70.6,58.266,1009.702,"2023-07-16T10:00:00Z"
"12","107358","EPA or BH","Sun",11,24,5.8,69.733,59.166,1009.706,"2023-07-16T11:00:00Z"
"13","107358","EPA or BH","Sun",12,27,6.4,68.934,60.233,1009.41,"2023-07-16T12:00:00Z"
"14","107358","EPA or BH","Sun",13,26,6.2,69,61.334,1009.541,"2023-07-16T13:00:00Z"
"15","107358","EPA or BH","Sun",14,27,6.4,70.667,61,1009.825,"2023-07-16T14:00:00Z"
"16","107358","EPA or BH","Sun",15,26,6.3,73.233,59.2,1010.179,"2023-07-16T15:00:00Z"
"17","107358","EPA or BH","Sun",16,28,6.6,75.233,56.967,1010.255,"2023-07-16T16:00:00Z"
"18","107358","EPA or BH","Sun",17,28,6.7,78.466,53.067,1010.33,"2023-07-16T17:00:00Z"
"19","107358","EPA or BH","Sun",18,31,7.5,81.166,48.1,1010.505,"2023-07-16T18:00:00Z"
"20","107358","EPA or BH","Sun",19,38,9.2,83.466,44.6,1010.363,"2023-07-16T19:00:00Z"
"21","107358","EPA or BH","Sun",20,50,11.9,85.8,41.8,1010.197,"2023-07-16T20:00:00Z"
"22","107358","EPA or BH","Sun",21,41,9.8,86.966,38.9,1009.974,"2023-07-16T21:00:00Z"
"23","107358","EPA or BH","Sun",22,39,9.4,85.8,39.433,1009.594,"2023-07-16T22:00:00Z"
"24","107358","EPA or BH","Sun",23,40,9.7,83.767,40.533,1009.487,"2023-07-16T23:00:00Z"
"25","107358","EPA or BH","Mon",0,37,8.8,81.934,44.133,1009.356,"2023-07-17T00:00:00Z"
"26","107358","EPA or BH","Mon",1,35,8.5,81.067,45.334,1009.28,"2023-07-17T01:00:00Z"
"27","107358","EPA or BH","Mon",2,33,7.9,78.633,47.7,1009.528,"2023-07-17T02:00:00Z"
"28","107358","EPA or BH","Mon",3,30,7.3,76.334,51.067,1009.909,"2023-07-17T03:00:00Z"
"29","107358","EPA or BH","Mon",4,28,6.7,75.034,52.467,1010.476,"2023-07-17T04:00:00Z"
"30","107358","EPA or BH","Mon",5,29,6.9,74.966,53.7,1010.876,"2023-07-17T05:00:00Z"
"31","107358","EPA or BH","Mon",6,27,6.5,75,54.867,1011.118,"2023-07-17T06:00:00Z"
"32","107358","EPA or BH","Mon",7,26,6.2,74.934,54.166,1010.897,"2023-07-17T07:00:00Z"
"33","107358","EPA or BH","Mon",8,26,6.3,74.433,54.7,1010.626,"2023-07-17T08:00:00Z"
"34","107358","EPA or BH","Mon",9,25,6,73.8,52.367,1010.541,"2023-07-17T09:00:00Z"
"35","107358","EPA or BH","Mon",10,25,5.9,73,53.633,1010.46,"2023-07-17T10:00:00Z"
"36","107358","EPA or BH","Mon",11,25,5.9,72.767,54.433,1010.112,"2023-07-17T11:00:00Z"
"37","107358","EPA or BH","Mon",12,24,5.8,72.834,56.067,1010.22,"2023-07-17T12:00:00Z"
"38","107358","EPA or BH","Mon",13,25,5.9,72,57.666,1010.322,"2023-07-17T13:00:00Z"
"39","107358","EPA or BH","Mon",14,26,6.2,72.6,56.034,1010.654,"2023-07-17T14:00:00Z"
"40","107358","EPA or BH","Mon",15,26,6.2,73.633,54.7,1010.902,"2023-07-17T15:00:00Z"
"41","107358","EPA or BH","Mon",16,26,6.2,74.633,53.034,1011.339,"2023-07-17T16:00:00Z"
"42","107358","EPA or BH","Mon",17,27,6.5,77.534,50.367,1011.509,"2023-07-17T17:00:00Z"
"43","107358","EPA or BH","Mon",18,29,6.9,80.2,46.5,1011.232,"2023-07-17T18:00:00Z"
